village_name,english_sentence,telugu_sentence,english_telugu_sentence
Peddapur,  Peddapur is renowned for its lush greenery.,  ?????????? ??????????? ????????? ????????.,  Pedd?p?r paccadan?niki prasid'dhi cendindi.
Gurrampet,  Gurrampet is known for its vibrant culture.,  ????????? ???? ??????????? ?????????? ????????? ????????.,  Gurramp??a d?ni ?aktivantamaina sanskr?tiki prasid'dhi cendindi.
Adavirangapur,  Adavirangapur is famous for its ancient temples.,  ???????????? ?????? ?????????? ?????????.,  A?avira?g?p?r pur?tana d?v?lay?laku prasid'dhi.
Venkateshwarlapally,   Venkateshwarlapally is celebrated for its historic monuments.,   ????????????????? ???????? ??????? ???? ????????????.,   Ve?ka???varlapalli c?ritraka ka??a??la k?sa? jarupuku???ru.
Thimmapur,   Thimmapur is cherished for its picturesque landscapes.,   ?????????? ???? ???????? ??????? ????????? ??????????????????.,   Tim'm?p?r d?ni sundaramaina prakr?ti dr??y?laku prati???tmakamainadi.
Laxmidevipet,   Laxmidevipet is esteemed for its rich heritage.,   ?????????????? ???? ????? ???????? ???? ?????????????.,   Lak?m?d?vip??a d?ni goppa v?rasatva? k?sa? gauravin?caba?indi.
RamanathPalli,   RamanathPalli is recognized for its peaceful atmosphere.,   ??????? ????? ?????????? ???????????? ????????? ????????.,   R?man?th palli pra??ntamaina v?t?vara??niki gurtimpu pondindi.
Patwaripally,   Patwaripally is renowned for its delicious cuisine.,   ???????????? ???? ????????? ???????? ????????? ????????.,   Pa?v?ripalli d?ni rucikaramaina va??ak?laku prasid'dhi cendindi.
Boorgupet,   Boorgupet is famous for its thriving agriculture.,   ?????????? ???? ????????? ?????????? ???????????? ????????? ????????.,   B?rgup?? d?ni abhivr?d'dhi cendutunna vyavas?y?niki prasid'dhi cendindi.
Bayyakkapet,    Bayyakkapet is known for its bustling markets.,    ?????????? ??????? ???? ??????????? ?????????.,    Bayyakkap??a sanda?ig? u??? m?rke?laku prasid'dhi.
Narlapur,    Narlapur is celebrated for its talented artisans.,    ?????????? ?????????????? ???????? ???? ????????????.,    N?rl?p?r pratibh?vantulaina ka??k?rula k?sa? jarupuku???ru.
Kaalvapalli,    Kaalvapalli is cherished for its tranquil lakes.,    ?????????? ???? ?????????? ??????? ???? ???? ?????????.,    K?lvapalli d?ni pra??ntamaina saras'sula k?sa? ent? viluvainadi.
Medaram,   Medaram is esteemed for its grand festivals.,   ?????? ???? ????? ???????? ????? ????????.,   M???ra? d?ni goppa pa??ugalaku gaurava? pondindi.
Thupaakulagoodem,   Thupaakulagoodem is recognized for its traditional dance forms.,   ???????????? ???? ????????? ????? ??????? ????????? ????????.,   Tup?kulag??e? d?ni s?mprad?ya nr?tya r?p?laku gurtimpu pondindi.
Kannayigudem,   Kannayigudem is renowned for its historical significance.,   ???????????? ???? ???????? ???????????? ????????? ????????.,   Kann?yig??e? d?ni c?ritraka pr?mukhyataku prasid'dhi cendindi.
Chityala,    Chityala is famous for its handloom industry.,    ??????? ????? ????????? ?????????.,    Ci?y?la c?n?ta pari?ramaku prasid'dhi.
Bhupatipur,   Bhupatipur is known for its strong community bonds.,   ????????? ????? ????????? ??????? ????????? ????????.,   Bh?patip?r balamaina kamy?ni?? bandh?laku prasid'dhi cendindi.
MuppanaPalli,    MuppanaPalli is celebrated for its vibrant festivals.,    ??????????? ???? ????????????? ???????? ????????????.,    Muppanapalli d?ni uts?habharitamaina pa??ugalaku jarupuku???ru.
Buttayigudem,    Buttayigudem is cherished for its warm hospitality.,    ????????????? ??????????? ???? ???? ????????.,    Bu???yig??e? ?tithy?niki ent? ?dara?a pondindi.
Chintagudem,    Chintagudem is esteemed for its breathtaking natural beauty.,    ????????? ???? ????????????? ??????? ???????????? ????????? ????????.,    Cintag??e? d?ni utka??habharitamaina prakr?ti saundary?niki prasiddi cendindi.
AilaaPur,    AilaaPur is recognized for its dynamic business environment.,    ??????? ???? ??????? ??????? ???????????? ????????? ????????.,    Ail?p?r d?ni ?ainamik vy?p?ra v?t?vara??niki gurtimpu pondindi.
Eturu,    Eturu is famous for its traditional art forms.,    ????? ???????? ?????????? ?????????.,    ???ru samprad?ya ka??r?p?laku prasid'dhi.
Kanthanpalli,   Kanthanpalli is renowned for its ancient heritage.,   ??????????? ?????? ???????????? ????????? ????????.,   Ka??han?palli pur?tana v?rasatv?niki prasid'dhi cendindi.
Chelpaaka,    Chelpaaka is celebrated for its traditional music.,    ??????? ???? ????????? ?????????? ????????????.,    Celp?ka d?ni s?mprad?ya sa?g?t?niki jarupuku???ru.
AlliwariGhanpur,   AlliwariGhanpur is known for its fertile farmlands.,   ????????? ?????? ????????? ??????? ??????? ?????????.,   Alliv?ri gha?ap?r s?ravantamaina vyavas?ya bh?mulaku prasid'dhi.
Malyaala,    Malyaala is cherished for its vibrant festivals.,    ???????? ???? ????????????? ?????? ???? ???? ????????????.,    M?ly?l? d?ni uts?habharitamaina pa??ugala k?sa? ent? i??apa?utundi.
Dodla Kothur,   Dodla Kothur is esteemed for its delectable sweets.,   ????? ???????? ???? ??????????? ???? ???? ?????????????.,   Do?la kott?r d?ni ?hl?dakaramaina t?pi k?sa? gauravin?caba?indi.
Shankar Rajupalli,   Shankar Rajupalli is recognized for its strong educational institutions.,   ????? ????????? ????? ?????????????? ????????? ????????.,   ?a?kar r?jupalli balamaina vidy?sansthalaku gurtimpu pondindi.
Mullakatta,    Mullakatta is famous for its scenic beauty.,    ????????? ???? ??????? ???????????? ????????? ????????.,    Mullaka??a d?ni prakr?ti saundary?niki prasid'dhi cendindi.
Rohir,   Rohir is celebrated for its rich folklore.,   ?????? ???? ????? ????? ??? ???? ????????????.,   R?hir d?ni goppa j?napada kathala k?sa? jarupuku???ru.
Eturunagaram,   Eturunagaram is renowned for its wildlife sanctuary.,   ??????????? ???? ??????????? ????????????? ????????? ????????.,   ???run?g?ra? d?ni van'yapr??ula abhay?ra?y?niki prasid'dhi cendindi.
Akulavari Ghanapuram,   Akulavari Ghanapuram is cherished for its traditional handicrafts.,   ???????? ?????? ???? ????????? ????????? ???? ???? ????????.,   ?kulav?ri ghanapura? d?ni s?mprad?ya hastaka?alaku ent? ?dara?a pondindi.
Ekkela,    Ekkela is known for its serene lakes,    ?????? ????????? ????????? ?????????,    Ekkela nirmalamaina saras'sulaku prasid'dhi
Sha Palli,    Sha Palli is esteemed for its ancient ruins.,    ? ????? ???? ?????? ??????? ???? ????????? ????????.,    ?a palli d?ni pur?tana ?idhil?la k?sa? prasiddi cendindi.
Chinnaboyinapalli,    Chinnaboyinapalli is recognized for its vibrant cultural heritage.,    ??????????????? ???? ??????????? ?????????? ???????????? ????????? ????????.,    Cinnab?yinapalli d?ni ?aktivantamaina s?nskr?tika v?rasatv?niki gurtimpu pondindi.
Padigaapur,    Padigaapur is famous for its vibrant markets.,    ????????? ???? ??????????? ???????????? ????????? ????????.,    Pa?ig?p?r d?ni ?aktivantamaina m?rke??laku prasid'dhi cendindi.
Vengalaapur,    Vengalaapur is celebrated for its historical significance.,    ?????????? ???? ???????? ?????????? ???? ????????????.,    Ve?ga??p?r d?ni c?ritraka pr?mukhyata k?sa? jarupuku???ru.
Mutthapur,    Mutthapur is renowned for its scenic beauty.,    ?????????? ???? ???????? ???????? ????????? ????????.,    Mutt?p?r d?ni sundaramaina and?niki prasid'dhi cendindi.
Raghavapatnam,    Raghavapatnam is cherished for its serene beaches.,    ????????? ???? ????????? ???????? ???? ???? ????????.,    R?ghavapa?na? d?ni nirmalamaina b?c?laku ent? ?dara?a pondindi.
Thadwai,    Thadwai is known for its traditional craftsmanship.,    ???????? ???? ????????? ???????? ????????? ????????.,    T??v?yi d?ni s?mprad?ya hastaka?aku prasid'dhi cendindi.
Kondaparthi,   Kondaparthi is esteemed for its spiritual retreats.,   ????????? ???? ?????????? ??????????? ????????????.,   Ko??aparti d?ni ?dhy?tmika tir?gaman?laku gauravan?yamainadi.
Lavvala,    Lavvala is recognized for its traditional dance forms.,    ????? ????????? ????? ??????? ????????? ????????.,    Lavvala s?mprad?ya nr?tya r?p?laku gurtimpu pondindi.
